week,place,avg_price
2026-07-13,Mt Buller,2000.04
2026-07-13,Perisher,1039.76
2026-07-13,Thredbo,8717.64
2026-07-20,Charlotte Pass,1933.5
2026-07-20,Mt Baw Baw,1170.1904761904761
2026-07-20,Mt Buller,1649.96
2026-07-20,Perisher,1012.64
2026-07-20,Thredbo,9611.8
2026-07-27,Charlotte Pass,1933.5
2026-07-27,Mt Baw Baw,1328.3809523809523
2026-07-27,Mt Buller,1251.36
2026-07-27,Perisher,1016.64
2026-07-27,Thredbo,8877.32
2026-08-03,Charlotte Pass,1933.5
2026-08-03,Mt Baw Baw,1399.1904761904761
2026-08-03,Mt Buller,1257.6
2026-08-03,Perisher,1006.92
2026-08-03,Thredbo,8293.28
2026-08-10,Charlotte Pass,1933.5
2026-08-10,Mt Baw Baw,1399.1904761904761
2026-08-10,Mt Buller,1228.08
2026-08-10,Perisher,1033.2
2026-08-10,Thredbo,9125.88
2026-08-17,Charlotte Pass,1941.5
2026-08-17,Mt Baw Baw,1399.1904761904761
2026-08-17,Mt Buller,1247.52
2026-08-17,Perisher,996.4
2026-08-17,Thredbo,7581.72
2026-08-24,Mt Baw Baw,1088.3333333333333
2026-08-24,Mt Buller,2812.529411764706
2026-08-24,Perisher,1035.0434782608695
2026-08-24,Thredbo,6702.166666666667
2026-08-31,Mt Baw Baw,1075.4285714285713
2026-08-31,Mt Buller,1975.8823529411766
2026-08-31,Perisher,1037.0869565217392
2026-08-31,Thredbo,6348.631578947368
2026-09-07,Mt Baw Baw,1066.857142857143
2026-09-07,Mt Buller,1981.7058823529412
2026-09-07,Perisher,1037.0869565217392
2026-09-07,Thredbo,6221.1
2026-09-14,Mt Baw Baw,1075.4285714285713
2026-09-14,Mt Buller,2110.5
2026-09-14,Perisher,1020.12
2026-09-14,Thredbo,6182.0
2026-09-21,Mt Baw Baw,1066.857142857143
2026-09-21,Mt Buller,2208.764705882353
2026-09-21,Perisher,1038.625
2026-09-21,Thredbo,6423.235294117647
2026-09-28,Mt Baw Baw,1007.8
2026-09-28,Mt Buller,2259.5
2026-09-28,Perisher,1060.3684210526317
2026-09-28,Thredbo,7429.181818181818
2026-10-05,Mt Baw Baw,1007.8
2026-10-05,Mt Buller,2238.090909090909
2026-10-05,Perisher,1060.3684210526317
2026-10-05,Thredbo,6710.181818181818
2026-10-12,Mt Baw Baw,1007.8
2026-10-12,Mt Buller,2188.0833333333335
2026-10-12,Perisher,1060.3684210526317
2026-10-12,Thredbo,7695.5
2026-10-19,Mt Baw Baw,1007.8
