"City","Date","schoolhols","school.hols"
"150","Melbourne",2004-01-19,"1","4"
"151","Perth",2004-01-19,"1","4"
"152","Sydney",2004-01-19,"1","4"
"153","Adelaide",2004-01-20,"1","4"
"154","Brisbane",2004-01-20,"1","4"
"155","Canberra",2004-01-20,"1","4"
"156","Darwin",2004-01-20,"1","4"
"157","Hobart",2004-01-20,"1","4"
"158","Melbourne",2004-01-20,"1","4"
"159","Perth",2004-01-20,"1","4"
"160","Sydney",2004-01-20,"1","4"
"161","Adelaide",2004-01-21,"1","4"
"162","Brisbane",2004-01-21,"1","4"
"163","Canberra",2004-01-21,"1","4"
"164","Darwin",2004-01-21,"1","4"
"165","Hobart",2004-01-21,"1","4"
"166","Melbourne",2004-01-21,"1","4"
"167","Perth",2004-01-21,"1","4"
"168","Sydney",2004-01-21,"1","4"
"169","Adelaide",2004-01-22,"1","4"
"170","Brisbane",2004-01-22,"1","4"
"171","Canberra",2004-01-22,"1","4"
"172","Darwin",2004-01-22,"1","4"
"173","Hobart",2004-01-22,"1","4"
"174","Melbourne",2004-01-22,"1","4"
"175","Perth",2004-01-22,"1","4"
"176","Sydney",2004-01-22,"1","4"
"177","Adelaide",2004-01-23,"1","4"
"178","Brisbane",2004-01-23,"1","4"
"179","Canberra",2004-01-23,"1","4"
"180","Darwin",2004-01-23,"1","4"
"181","Hobart",2004-01-23,"1","4"
"182","Melbourne",2004-01-23,"1","4"
"183","Perth",2004-01-23,"1","4"
"184","Sydney",2004-01-23,"1","4"
"185","Adelaide",2004-01-24,"1","4"
"186","Brisbane",2004-01-24,"1","4"
"187","Canberra",2004-01-24,"1","4"
"188","Darwin",2004-01-24,"1","4"
"189","Hobart",2004-01-24,"1","4"
"190","Melbourne",2004-01-24,"1","4"
"191","Perth",2004-01-24,"1","4"
"192","Sydney",2004-01-24,"1","4"
"193","Adelaide",2004-01-25,"1","4"
"194","Brisbane",2004-01-25,"1","4"
"195","Canberra",2004-01-25,"1","4"
"196","Darwin",2004-01-25,"1","4"
"197","Hobart",2004-01-25,"1","4"
"198","Melbourne",2004-01-25,"1","4"
"199","Perth",2004-01-25,"1","4"
"200","Sydney",2004-01-25,"1","4"
"201","Adelaide",2004-01-26,"1","4"
"202","Brisbane",2004-01-26,"1","4"
"203","Canberra",2004-01-26,"1","4"
"204","Darwin",2004-01-26,"1","4"
"205","Hobart",2004-01-26,"1","4"
"206","Melbourne",2004-01-26,"1","4"
"207","Perth",2004-01-26,"1","4"
"208","Sydney",2004-01-26,"1","4"
"209","Adelaide",2004-01-27,"1","4"
"210","Brisbane",2004-01-27,"0","0"
"211","Canberra",2004-01-27,"1","4"
"212","Darwin",2004-01-27,"1","4"
"213","Hobart",2004-01-27,"1","4"
"214","Melbourne",2004-01-27,"1","4"
"215","Perth",2004-01-27,"1","4"
"216","Sydney",2004-01-27,"0","0"
"217","Adelaide",2004-01-28,"0","0"
"218","Brisbane",2004-01-28,"0","0"
"219","Canberra",2004-01-28,"1","4"
"220","Darwin",2004-01-28,"0","0"
"221","Hobart",2004-01-28,"1","4"
"222","Melbourne",2004-01-28,"1","4"
"223","Perth",2004-01-28,"1","4"
"224","Sydney",2004-01-28,"0","0"
"225","Adelaide",2004-01-29,"0","0"
"226","Brisbane",2004-01-29,"0","0"
"227","Canberra",2004-01-29,"1","4"
"228","Darwin",2004-01-29,"0","0"
"229","Hobart",2004-01-29,"1","4"
"230","Melbourne",2004-01-29,"0","0"
"231","Perth",2004-01-29,"1","4"
"232","Sydney",2004-01-29,"0","0"
"233","Adelaide",2004-01-30,"0","0"
"234","Brisbane",2004-01-30,"0","0"
"235","Canberra",2004-01-30,"1","4"
"236","Darwin",2004-01-30,"0","0"
"237","Hobart",2004-01-30,"1","4"
"238","Melbourne",2004-01-30,"0","0"
"239","Perth",2004-01-30,"1","4"
"240","Sydney",2004-01-30,"0","0"
"241","Adelaide",2004-01-31,"0","0"
"242","Brisbane",2004-01-31,"0","0"
"243","Canberra",2004-01-31,"1","4"
"244","Darwin",2004-01-31,"0","0"
"245","Hobart",2004-01-31,"1","4"
"246","Melbourne",2004-01-31,"0","0"
"247","Perth",2004-01-31,"1","4"
"248","Sydney",2004-01-31,"0","0"
"249","Adelaide",2004-02-01,"0","0"
"250","Brisbane",2004-02-01,"0","0"
"251","Canberra",2004-02-01,"1","4"
"252","Darwin",2004-02-01,"0","0"
"253","Hobart",2004-02-01,"1","4"
"254","Melbourne",2004-02-01,"0","0"
"255","Perth",2004-02-01,"1","4"
"256","Sydney",2004-02-01,"0","0"
"257","Adelaide",2004-02-02,"0","0"
"258","Brisbane",2004-02-02,"0","0"
"259","Canberra",2004-02-02,"0","0"
"260","Darwin",2004-02-02,"0","0"
"261","Hobart",2004-02-02,"1","4"
"262","Melbourne",2004-02-02,"0","0"
"263","Perth",2004-02-02,"0","0"
"264","Sydney",2004-02-02,"0","0"
"265","Adelaide",2004-02-03,"0","0"
"266","Brisbane",2004-02-03,"0","0"
"267","Canberra",2004-02-03,"0","0"
"268","Darwin",2004-02-03,"0","0"
"269","Hobart",2004-02-03,"1","4"
"270","Melbourne",2004-02-03,"0","0"
"271","Perth",2004-02-03,"0","0"
"272","Sydney",2004-02-03,"0","0"
"273","Adelaide",2004-02-04,"0","0"
"274","Brisbane",2004-02-04,"0","0"
"275","Canberra",2004-02-04,"0","0"
"276","Darwin",2004-02-04,"0","0"
"277","Hobart",2004-02-04,"1","4"
"278","Melbourne",2004-02-04,"0","0"
"279","Perth",2004-02-04,"0","0"
"280","Sydney",2004-02-04,"0","0"
"281","Adelaide",2004-02-05,"0","0"
"282","Brisbane",2004-02-05,"0","0"
"283","Canberra",2004-02-05,"0","0"
"284","Darwin",2004-02-05,"0","0"
"285","Hobart",2004-02-05,"1","4"
"286","Melbourne",2004-02-05,"0","0"
"287","Perth",2004-02-05,"0","0"
"288","Sydney",2004-02-05,"0","0"
"289","Adelaide",2004-02-06,"0","0"
"290","Brisbane",2004-02-06,"0","0"
"291","Canberra",2004-02-06,"0","0"
"292","Darwin",2004-02-06,"0","0"
"293","Hobart",2004-02-06,"1","4"
"294","Melbourne",2004-02-06,"0","0"
"295","Perth",2004-02-06,"0","0"
"296","Sydney",2004-02-06,"0","0"
"297","Adelaide",2004-02-07,"0","0"
"298","Brisbane",2004-02-07,"0","0"
"299","Canberra",2004-02-07,"0","0"
"300","Darwin",2004-02-07,"0","0"
