week,avg_price
2025-12-29,1906.9638554216867
2026-01-05,1832.6969696969697
2026-01-12,1758.01
2026-01-19,1661.2330097087379
2026-01-26,1457.2912621359224
2026-02-02,1563.8529411764705
2026-02-09,1531.8333333333333
2026-02-16,1486.4752475247524
2026-02-23,1478.078431372549
2026-03-02,1533.549019607843
2026-03-09,1546.2233009708739
2026-03-16,1449.7843137254902
2026-03-23,1525.8058252427184
2026-03-30,1711.6122448979593
2026-04-06,1581.0194174757282
2026-04-13,1630.514563106796
2026-04-20,1573.873786407767
2026-04-27,1741.2843137254902
2026-05-04,1431.930693069307
2026-05-11,1401.862745098039
2026-05-18,1419.1764705882354
2026-05-25,1496.921568627451
2026-06-01,1756.04
2026-06-08,1731.9126213592233
2026-06-15,1815.0582524271845
2026-06-22,2701.4077669902913
2026-06-29,3470.13
2026-07-06,3372.3
2026-07-13,3245.66
2026-07-20,3421.438775510204
2026-07-27,3167.3061224489797
2026-08-03,3032.6020408163267
2026-08-10,3244.173469387755
2026-08-17,2845.9897959183672
2026-08-24,2933.114285714286
2026-08-31,2645.5205479452056
2026-09-07,2660.810810810811
2026-09-14,2579.0263157894738
2026-09-21,2591.7638888888887
2026-09-28,2674.230769230769
2026-10-05,2522.6666666666665
2026-10-12,2616.4117647058824
2026-10-19,2519.1960784313724
2026-10-26,2563.6326530612246
2026-11-02,2572.8846153846152
2026-11-09,2558.0384615384614
2026-11-16,2626.98
2026-11-23,2730.5
2026-11-30,2652.1875
2026-12-07,2629.8444444444444
2026-12-14,2733.5813953488373
2026-12-21,2768.8809523809523
2026-12-28,3007.722222222222
